DIMENSION_MACRO,IES ANONIMIZADA,SUBDIMENSIÓN,VARIABLE,INDICADOR,RESULTADO
Investigación,UNIVERSIDAD 2,INVESTIGACIÓN,COLABORACIÓN E INTERNACIONALIZACIÓN,COAUTORÍA INTERNACIONAL Y REDES DE COOPERACIÓN.,83.33
Investigación,UNIVERSIDAD 2,INVESTIGACIÓN,DIFUSIÓN Y TRANSFERENCIA DEL CONOCIMIENTO,"EVIDENCIAS DE LAS ACTIVIDADES, TAREAS DE DIFUSIÓN Y TRANSFERENCIA DEL CONOCIMIENTO",83.33
Investigación,UNIVERSIDAD 2,INVESTIGACIÓN,GESTIÓN DE LA INVESTIGACIÓN,ÍNDICE DE TRANSPARENCIA Y EFICIENCIA EN LA GESTIÓN DE FONDOS (ITEG).,66.67
Investigación,UNIVERSIDAD 2,INVESTIGACIÓN,POLÍTICA Y PLANIFICACIÓN DE LA INVESTIGACIÓN,NIVEL DE INSTITUCIONALIZACIÓN Y PUBLICIDAD DE LA POLÍTICA DE INVESTIGACIÓN.,83.33
Investigación,UNIVERSIDAD 2,INVESTIGACIÓN,PRODUCCIÓN CIENTÍFICA,REPOSITORIOS CON LA PRODUCCIÓN CIENTÍFICA DE LA IES,75.0
Investigación,UNIVERSIDAD 2,INVESTIGACIÓN,VINCULACIÓN ENTRE INVESTIGACIÓN Y DOCENCIA,EXISTENCIA DE INTEGRACIÓN DE RESULTADOS DE INVESTIGACIÓN EN LOS SÍLABOS ACADÉMICOS.,50.0
Investigación,UNIVERSIDAD 2,INVESTIGACIÓN,ÉTICA Y CALIDAD EN LA INVESTIGACIÓN,CUMPLIMIENTO DE ESTÁNDARES ÉTICOS (ICEE).,75.0
Participación,UNIVERSIDAD 2,PARTICIPACIÓN CONSULTIVA,EXISTENCIA DE MECANISMOS DE CONSULTA,EXISTE VARIEDAD DE ESPACIOS CONSULTIVOS ACTIVOS,41.67
Participación,UNIVERSIDAD 2,PARTICIPACIÓN CONSULTIVA,FRECUENCIA DE PARTICIPACIÓN CONSULTIVA,EXISTENCIA DE PROCESOS DE CONSULTA CON LA COMUNIDAD UNIVERSITARIA SOBRE POLÍTICAS O PLANES APROBADOS.,16.67
Participación,UNIVERSIDAD 2,PARTICIPACIÓN CONSULTIVA,GESTIÓN DE LA PARTICIPACIÓN CONSULTIVA DIGITAL Y USO DE RESULTADOS,EXISTE EVIDENCIA DE QUE LOS APORTES CIUDADANOS O ACADÉMICOS INFLUYERON EN DECISIONES.,0.0
Participación,UNIVERSIDAD 2,PARTICIPACIÓN CONSULTIVA,GESTIÓN DE LA PARTICIPACIÓN CONSULTIVA DIGITAL Y USO DE RESULTADOS,GRADO DE PUBLICACIÓN Y DIFUSIÓN DE LOS APORTES RECIBIDOS Y RESPUESTAS INSTITUCIONALES (CONSULTAS CUYOS RESULTADOS SE PUBLICAN / CONSULTAS TOTALES).,0.0
Participación,UNIVERSIDAD 2,PARTICIPACIÓN CONSULTIVA,GESTIÓN DE LA PARTICIPACIÓN CONSULTIVA DIGITAL Y USO DE RESULTADOS,USO DE HERRAMIENTAS ELECTRÓNICAS PARA RECOGER APORTES O ENCUESTAS.,8.33
Participación,UNIVERSIDAD 2,PARTICIPACIÓN CONSULTIVA,INCLUSIÓN Y DIVERSIDAD EN LAS CONSULTAS,"EXISTE REPRESENTATIVIDAD DE GRUPOS INTERNOS Y EXTERNOS EN LAS CONSULTAS (% DE PARTICIPACIÓN DE ESTUDIANTES, DOCENTES, SOCIEDAD).",41.67
Participación,UNIVERSIDAD 2,PARTICIPACIÓN DECISORIA,CO-CREACIÓN DE POLÍTICAS O PROYECTOS,EXISTEN INICIATIVAS O POLÍTICAS DISEÑADAS DE MANERA COLABORATIVA (CONEO_ANUAL / CONTEO_ACUMULADO)*100.,41.67
Participación,UNIVERSIDAD 2,PARTICIPACIÓN DECISORIA,ESPACIOS DE CO-DECISIÓN,EXISTENCIA DE ÓRGANOS COLEGIADOS CON REPRESENTACIÓN DE LA COMUNIDAD UNIVERSITARIA O EXTERNA.,75.0
Participación,UNIVERSIDAD 2,PARTICIPACIÓN DECISORIA,EVALUACIÓN PARTICIPATIVA,"EXISTENCIA DE PROCESOS DE MONITOREO Y EVALUACIÓN CON PARTICIPACIÓN, ESTUDIANTES, CIUDADANA O ACADÉMICA.",8.33
Participación,UNIVERSIDAD 2,PARTICIPACIÓN DECISORIA,VINCULACIÓN SOCIAL Y TERRITORIAL PARTICIPATIVA,"PARTICIPACIÓN CONJUNTA CON ACTORES EXTERNOS (ONG, MUNICIPIOS, COMUNIDADES). NÚMERO DE PROYECTOS GESTIONADOS O CONVENIOS PARTICIPATIVOS",58.33
Participación,UNIVERSIDAD 2,PARTICIPACIÓN INFORMATIVA,ACCESO A LA INFORMACIÓN PARTICIPATIVA,SE PUBLICA INFORMACIÓN SOBRE PROCESOS Y DECISIONES,81.25
Participación,UNIVERSIDAD 2,PARTICIPACIÓN INFORMATIVA,COMUNICACIÓN BIDIRECCIONAL POTENCIAL,EXISTENCIA DE CANALES PARA RECIBIR COMENTARIOS O CONSULTAS (AUNQUE NO SE USEN).,100.0
Participación,UNIVERSIDAD 2,PARTICIPACIÓN INFORMATIVA,DIFUSIÓN DE DECISIONES INSTITUCIONALES,"SE PUBLICACIÓN DE RESOLUCIONES Y ACUERDOS INSTITUCIONALES DE MANERA FRECUENTE (MENSUAL, TRIMESTRAL, SEMESTRAL, ANUAL)",50.0
Participación,UNIVERSIDAD 2,PARTICIPACIÓN INFORMATIVA,PARTICIPACIÓN EN EVENTOS INFORMATIVOS,PARTICIPACIÓN EN EVENTOS INFORMATIVOS,75.0
Transf. Digital,UNIVERSIDAD 2,TRANSFORMACIÓN DIGITAL,DATOS ABIERTOS E INTEROPERABILIDAD,CALIDAD DE DATOS ABIERTOS (BASADO EN EL MODELO DE 5 ESTRELLAS DE TIM BERNERS-LEE).,66.67
Transf. Digital,UNIVERSIDAD 2,TRANSFORMACIÓN DIGITAL,ESTRATEGIA INSTITUCIONAL DE INNOVACIÓN Y / O TD,NIVEL DE MADUREZ DE LA ESTRATEGIA DE TRANSFORMACIÓN DIGITAL,68.75
Transf. Digital,UNIVERSIDAD 2,TRANSFORMACIÓN DIGITAL,INNOVACIÓN EN SERVICIOS ACADÉMICOS,DIGITALIZACIÓN DE SERVICIOS ACADÉMICOS DE EXTREMO A EXTREMO.,83.33
Transf. Digital,UNIVERSIDAD 2,TRANSFORMACIÓN DIGITAL,MECANISMOS PARA EVALUACIÓN DE IMPACTO DE LA INNOVACIÓN,ÍNDICE DE EFECTIVIDAD Y RETORNO DE VALOR DE LA INNOVACIÓN (IEVI).,66.67
Transf. Digital,UNIVERSIDAD 2,TRANSFORMACIÓN DIGITAL,USO DE TI PARA TRANSPARENCIA Y ACCESO A INFORMACIÓN,USABILIDAD TECNOLÓGICA PARA LA TRANSPARENCIA (IUTT),75.0
Transparencia,UNIVERSIDAD 2,TRANSPARENCIA ACTIVA,ACCESIBILIDAD DEL PORTAL DE TRANSPARENCIA,EXISTENCIA DEL PORTAL,100.0
Transparencia,UNIVERSIDAD 2,TRANSPARENCIA ACTIVA,ACTUALIZACIÓN DE LA INFORMACIÓN,INFORMACIÓN ACTUALIZADA EN BASE A NORMATIVA,87.5
Transparencia,UNIVERSIDAD 2,TRANSPARENCIA ACTIVA,COMPLETITUD DE LA INFORMACIÓN,ÍTEMS PUBLICADOS SON LOS EXIGIDOS POR NORMATIVA,100.0
Transparencia,UNIVERSIDAD 2,TRANSPARENCIA ACTIVA,PUBLICACIÓN DE INFORMACIÓN FINANCIERA Y PRESUPUESTARIA,"PUBLICACIÓN DE INFORMACIÓN FINANCIERA Y PRESUPUESTARIA, CALIDAD Y CLARIDAD DE DATOS FINANCIEROS",100.0
Transparencia,UNIVERSIDAD 2,TRANSPARENCIA ACTIVA,USABILIDAD DEL PORTAL,PUBLICACIÓN DE INFORMACIÓN EN FORMATO DE DATOS ABIERTOS,100.0
Transparencia,UNIVERSIDAD 2,TRANSPARENCIA COLABORATIVA,COCREACIÓN DE INFORMACIÓN CON LA CIUDADANÍA,EXISTENCIA DE PROYECTOS DE TRANSPARENCIA CO-CREADOS CON LA COMUNIDAD,18.75
Transparencia,UNIVERSIDAD 2,TRANSPARENCIA COLABORATIVA,COCREACIÓN DE INFORMACIÓN CON LA CIUDADANÍA,LA INSTITUCIÓN PRESENTA DATASETS O INFORMES GENERADOS JUNTO CON ACTORES EXTERNOS,6.25
Transparencia,UNIVERSIDAD 2,TRANSPARENCIA COLABORATIVA,MECANISMOS DE COLABORACIÓN,"EXISTEN ESPACIOS PARTICIPATIVOS EN TEMAS DE TRANSPARENCIA (FOROS, LABORATORIOS, HACKATHONS)",31.25
Transparencia,UNIVERSIDAD 2,TRANSPARENCIA COLABORATIVA,NIVEL DE INTERACCIÓN,"EXISTEN PLATAFORMAS COLABORATIVAS INSTITUCIONALES QUE EVIDENCIEN (VISITAS, APORTES)",6.25
Transparencia,UNIVERSIDAD 2,TRANSPARENCIA COLABORATIVA,RETROALIMENTACIÓN PÚBLICA,EXISTENCIA DE CANALES DE COMENTARIOS O SUGERENCIAS,18.75
Transparencia,UNIVERSIDAD 2,TRANSPARENCIA FOCALIZADA,ACCESIBILIDAD DIFERENCIADA,"DISPONIBILIDAD DE VERSIONES INCLUSIVAS (LECTURA FÁCIL, BRAILLE, MULTIMEDIA)",58.33
Transparencia,UNIVERSIDAD 2,TRANSPARENCIA FOCALIZADA,CLARIDAD Y LENGUAJE CIUDADANO,NIVEL DE COMPRENSIÓN DE LA INFORMACIÓN PUBLICADA,50.0
Transparencia,UNIVERSIDAD 2,TRANSPARENCIA FOCALIZADA,IDENTIFICACIÓN DE PÚBLICOS OBJETIVO,"EXISTENCIA DE MAPEO DE GRUPOS DE INTERÉS (ESTUDIANTES, DOCENTES, CIUDADANÍA)",45.0
Transparencia,UNIVERSIDAD 2,TRANSPARENCIA FOCALIZADA,INFORMACIÓN SECTORIAL PRIORIZADA,"EXISTE INFORMACIÓN, PUBLICACIONES DE TEMAS ESPECÍFICOS CON INFORMACIÓN DIRIGIDA (P. EJ. BECAS, PRESUPUESTOS, INVESTIGACIONES)",75.0
Transparencia,UNIVERSIDAD 2,TRANSPARENCIA PASIVA,CALIDAD DE RESPUESTA Y SATISFACCIÓN DEL SOLICITANTE,LAS RESPUESTAS SE COMPLETAN SATISFACTORIAMENTE POR PARTE DE LA INSTITUCIÓN,75.0
Transparencia,UNIVERSIDAD 2,TRANSPARENCIA PASIVA,CALIDAD DE RESPUESTA Y SATISFACCIÓN DEL SOLICITANTE,LOS USUARIOS ESTÁN SATISFECHOS CON EL SERVICIO,75.0
Transparencia,UNIVERSIDAD 2,TRANSPARENCIA PASIVA,MECANISMOS DE ACCESO,"EXISTEN VARIOS CANALES DISPONIBLES DE ACCESO A LA INFORMACIÓN (PRESENCIAL, WEB, CORREO, ETC.)",75.0
Transparencia,UNIVERSIDAD 2,TRANSPARENCIA PASIVA,PROCEDIMIENTO INSTITUCIONAL,"EXISTENCIA DE REGLAMENTO, PROTOCOLO, FORMATO DE SOLICITUDES",62.5
Transparencia,UNIVERSIDAD 2,TRANSPARENCIA PASIVA,PUBLICACIÓN DE SOLICITUDES FRECUENTES (FAǪ),EXISTENCIA DE REPOSITORIO PÚBLICO DE SOLICITUDES RECURRENTES,41.67
Transparencia,UNIVERSIDAD 2,TRANSPARENCIA PASIVA,TIEMPOS DE RESPUESTA,PLAZOS PREDEFINIDOS PARA RESPUESTA A SOLICITUDES DE INFORMACIÓN,62.5
Comunicación,UNIVERSIDAD 3,COMUNICACIÓN Y RENDICIÓN DE CUENTAS,ACCESIBILIDAD Y LENGUAJE CIUDADANO,"GRADO DE IMPLEMENTACIÓN DE ""LENGUAJE CLARO"" Y ESTÁNDARES WCAG EN LA COMUNICACIÓN.",41.67
Comunicación,UNIVERSIDAD 3,COMUNICACIÓN Y RENDICIÓN DE CUENTAS,CANALES DE INTERACCIÓN Y RESPUESTA,"EXISTENCIA DE RESPUESTA EFECTIVA POR CANALES OFICIALES (REDES SOCIALES, BUZONES, CHAT).",75.0
Comunicación,UNIVERSIDAD 3,COMUNICACIÓN Y RENDICIÓN DE CUENTAS,ESTRATEGIA DE COMUNICACIÓN INSTITUCIONAL,NIVEL DE ALINEACIÓN DE LA ESTRATEGIA DE COMUNICACIÓN CON LOS PRINCIPIOS DE GOBIERNO ABIERTO,81.25
Comunicación,UNIVERSIDAD 3,COMUNICACIÓN Y RENDICIÓN DE CUENTAS,RENDICIÓN DE CUENTAS PARTICIPATIVA,PERIODICIDAD DE PUBLICACIÓN DE INFORMES DE GESTIÓN EN BASE A NORMATIVA VIGENTE,75.0
Comunicación,UNIVERSIDAD 3,COMUNICACIÓN Y RENDICIÓN DE CUENTAS,RENDICIÓN DE CUENTAS PARTICIPATIVA,TIPO DE PARTICIPACIÓN EN ACTOS DE RENDICIÓN,68.75
Comunicación,UNIVERSIDAD 3,COMUNICACIÓN Y RENDICIÓN DE CUENTAS,SEGUIMIENTO Y CUMPLIMIENTO DE COMPROMISOS,EXISTENCIA DE DOCUMENTOS QUE CERTIFIQUEN EL SEGUIMIENTO Y CUMPLIMIENTO DE COMPROMISOS,18.75
Información Académica,UNIVERSIDAD 3,INFORMACIÓN ACADÉMICA ACCESIBILIDAD,CALIDAD / UTILIDAD DE LA INFORMACIÓN ACADÉMICA PUBLICADA,PERTINENCIA Y RELEVANCIA DE LA INFORMACIÓN PUBLICADA,66.67
Información Académica,UNIVERSIDAD 3,INFORMACIÓN ACADÉMICA ACCESIBILIDAD,CLARIDAD DE LA INFORMACIÓN PRESENTADA,CLARIDAD DE LA INFORMACIÓN,91.67
Información Académica,UNIVERSIDAD 3,INFORMACIÓN ACADÉMICA ACCESIBILIDAD,EL FORMATO EN QUE SE PUBLICA LA INFORMACIÓN,"CUMPLIMIENTO DE CRITERIOS DE DATOS ABIERTOS (DISPONIBLE, ACCESIBLE, INTEROPERABLE, REUTILIZABLE)",50.0
Información Académica,UNIVERSIDAD 3,INFORMACIÓN ACADÉMICA ACCESIBILIDAD,FACILIDAD PARA ACCEDER A LA INFORMACIÓN ACADÉMICA,NIVEL DE FACILIDAD DE ACCESO,87.5
Información Académica,UNIVERSIDAD 3,INFORMACIÓN ACADÉMICA ACCESIBILIDAD,INFORMACIÓN ACADÉMICA PUBLICADA,EXISTENCIA DE INFORMACIÓN ACADÉMICA PUBLICADA,75.0
Información Académica,UNIVERSIDAD 3,INFORMACIÓN ACADÉMICA ACTUALIZACIÓN DE INFORMACIÓN,ACTUALIZACIÓN DE LA PLANTILLA DOCENTE,PRECISIÓN DEL DIRECTORIO ACADÉMICO,37.5
Información Académica,UNIVERSIDAD 3,INFORMACIÓN ACADÉMICA ACTUALIZACIÓN DE INFORMACIÓN,OPORTUNIDAD EN EL CALENDARIO ACADÉMICO,ANTELACIÓN DE PUBLICACIÓN DE FECHAS.,91.67
Información Académica,UNIVERSIDAD 3,INFORMACIÓN ACADÉMICA ACTUALIZACIÓN DE INFORMACIÓN,VIGENCIA DE LA NORMATIVA EDUCATIVA,VIGENCIA DEL MARCO REGULATORIO,83.33
Información Académica,UNIVERSIDAD 3,INFORMACIÓN ACADÉMICA ACTUALIZACIÓN DE INFORMACIÓN,VIGENCIA DE LA OFERTA ACADÉMICA,"EXISTENCIA DE INFORMACIÓN QUE DÉ A CONOCER LA VIGENCIA DE LA OFERTA ACADÉMICA, ADEMÁS DE UN HISTORIAL DE PUBLICACIONES",50.0
Información Académica,UNIVERSIDAD 3,INFORMACIÓN ACADÉMICA DIFUSIÓN DE RESULTADOS,PUBLICACIÓN PERIÓDICA DE INFORMACIÓN Y RESULTADOS DE VINCULACIÓN,CUMPLIMIENTO EN LA PERIODICIDAD DE ACTUALIZACIÓN DE INFORMACIÓN,50.0
Información Académica,UNIVERSIDAD 3,INFORMACIÓN ACADÉMICA DIFUSIÓN DE RESULTADOS,PUBLICACIÓN PERIÓDICA DE INFORMACIÓN Y RESULTADOS DE VINCULACIÓN,EXISTENCIA DE INFORMACIÓN PUBLICADA RELATIVA A RESULTADOS DE VINCULACIÓN Y TRANSFERENCIA DE CONOCIMIENTO,58.33
Información Académica,UNIVERSIDAD 3,INFORMACIÓN ACADÉMICA DIFUSIÓN DE RESULTADOS,RESULTADOS DE CALIDAD E INVESTIGACIÓN INSTITUCIONAL,PUBLICACIÓN DE INFORMACIÓN DE INSERCIÓN LABORAL Y CALIDAD DE LA GRADUACIÓN.,50.0
Información Académica,UNIVERSIDAD 3,INFORMACIÓN ACADÉMICA DIFUSIÓN DE RESULTADOS,RESULTADOS DE CALIDAD E INVESTIGACIÓN INSTITUCIONAL,VISIBILIDAD Y ACCESO A LA PRODUCCIÓN CIENTÍFICA.,66.67
Información Académica,UNIVERSIDAD 3,INFORMACIÓN ACADÉMICA DIFUSIÓN DE RESULTADOS,RESULTADOS DE LA GESTIÓN DE CALIDAD (ACREDITACIÓN),PUBLICIDAD DE LOS PROCESOS DE EVALUACIÓN Y ACREDITACIÓN.,58.33
Información Académica,UNIVERSIDAD 3,INFORMACIÓN ACADÉMICA SERVICIO AL ESTUDIANTE,ACOMPAÑAMIENTO Y TUTORÍAS ACADÉMICAS.,ACCESIBILIDAD AL SISTEMA DE TUTORÍAS.,33.33
Información Académica,UNIVERSIDAD 3,INFORMACIÓN ACADÉMICA SERVICIO AL ESTUDIANTE,BIENESTAR Y APOYO ECONÓMICO (BECAS),PUBLICIDAD DE CRITERIOS DE SELECCIÓN PARA BECAS,50.0
Información Académica,UNIVERSIDAD 3,INFORMACIÓN ACADÉMICA SERVICIO AL ESTUDIANTE,CANALES DE QUEJAS Y SUGERENCIAS (VOZ ESTUDIANTIL),EXISTENCIA DEL BUZÓN DE TRANSPARENCIA.,50.0
Información Académica,UNIVERSIDAD 3,INFORMACIÓN ACADÉMICA SERVICIO AL ESTUDIANTE,INFRAESTRUCTURA Y RECURSOS DE APRENDIZAJE,DISPONIBILIDAD DE INVENTARIOS DE RECURSOS,16.67
Información Académica,UNIVERSIDAD 3,INFORMACIÓN ACADÉMICA TRANSPARENCIA,TRANSPARENCIA EN ADMISIÓN Y MATRÍCULA,"EXISTENCIA DE PUBLICIDAD, CRITERIOS DE SELECCIÓN, DESCRIPCIÓN DEL PROCESO DE ADMISIÓN Y MATRICULA.",87.5
Información Académica,UNIVERSIDAD 3,INFORMACIÓN ACADÉMICA TRANSPARENCIA,TRANSPARENCIA EN LA EVALUACIÓN,EXISTEN CRITERIOS ESPECÍFICOS (EJ. RÚBRICAS) CON LOS QUE SERÁN CALIFICADOS MIS TRABAJOS O PROYECTOS.,66.67
Información Académica,UNIVERSIDAD 3,INFORMACIÓN ACADÉMICA TRANSPARENCIA,TRANSPARENCIA EN TITULACIÓN Y GRADUACIÓN,"EXISTENCIA DE CRITERIOS ASOCIADOS AL PROCESO DE TITULACIÓN (TASAS, PLAZOS, NORMATIVA, DERECHOS DE GRADO, ETC.) CON SUFICIENTE ANTELACIÓN.",87.5
Investigación,UNIVERSIDAD 3,INVESTIGACIÓN,CIENCIA ABIERTA Y ACCESO A LA INFORMACIÓN CIENTÍFICA,PRODUCCIÓN CIENTÍFICA DISPONIBLE EN ACCESO ABIERTO (OPEN ACCESS).,75.0
Investigación,UNIVERSIDAD 3,INVESTIGACIÓN,COLABORACIÓN E INTERNACIONALIZACIÓN,COAUTORÍA INTERNACIONAL Y REDES DE COOPERACIÓN.,91.67
Investigación,UNIVERSIDAD 3,INVESTIGACIÓN,DIFUSIÓN Y TRANSFERENCIA DEL CONOCIMIENTO,"EVIDENCIAS DE LAS ACTIVIDADES, TAREAS DE DIFUSIÓN Y TRANSFERENCIA DEL CONOCIMIENTO",83.33
Investigación,UNIVERSIDAD 3,INVESTIGACIÓN,GESTIÓN DE LA INVESTIGACIÓN,ÍNDICE DE TRANSPARENCIA Y EFICIENCIA EN LA GESTIÓN DE FONDOS (ITEG).,66.67
Investigación,UNIVERSIDAD 3,INVESTIGACIÓN,POLÍTICA Y PLANIFICACIÓN DE LA INVESTIGACIÓN,NIVEL DE INSTITUCIONALIZACIÓN Y PUBLICIDAD DE LA POLÍTICA DE INVESTIGACIÓN.,41.67
Investigación,UNIVERSIDAD 3,INVESTIGACIÓN,PRODUCCIÓN CIENTÍFICA,REPOSITORIOS CON LA PRODUCCIÓN CIENTÍFICA DE LA IES,75.0
Investigación,UNIVERSIDAD 3,INVESTIGACIÓN,VINCULACIÓN ENTRE INVESTIGACIÓN Y DOCENCIA,EXISTENCIA DE INTEGRACIÓN DE RESULTADOS DE INVESTIGACIÓN EN LOS SÍLABOS ACADÉMICOS.,66.67
Investigación,UNIVERSIDAD 3,INVESTIGACIÓN,ÉTICA Y CALIDAD EN LA INVESTIGACIÓN,CUMPLIMIENTO DE ESTÁNDARES ÉTICOS (ICEE).,66.67
Participación,UNIVERSIDAD 3,PARTICIPACIÓN CONSULTIVA,EXISTENCIA DE MECANISMOS DE CONSULTA,EXISTE VARIEDAD DE ESPACIOS CONSULTIVOS ACTIVOS,41.67
Participación,UNIVERSIDAD 3,PARTICIPACIÓN CONSULTIVA,FRECUENCIA DE PARTICIPACIÓN CONSULTIVA,EXISTENCIA DE PROCESOS DE CONSULTA CON LA COMUNIDAD UNIVERSITARIA SOBRE POLÍTICAS O PLANES APROBADOS.,8.33
Participación,UNIVERSIDAD 3,PARTICIPACIÓN CONSULTIVA,GESTIÓN DE LA PARTICIPACIÓN CONSULTIVA DIGITAL Y USO DE RESULTADOS,EXISTE EVIDENCIA DE QUE LOS APORTES CIUDADANOS O ACADÉMICOS INFLUYERON EN DECISIONES.,0.0
Participación,UNIVERSIDAD 3,PARTICIPACIÓN CONSULTIVA,GESTIÓN DE LA PARTICIPACIÓN CONSULTIVA DIGITAL Y USO DE RESULTADOS,GRADO DE PUBLICACIÓN Y DIFUSIÓN DE LOS APORTES RECIBIDOS Y RESPUESTAS INSTITUCIONALES (CONSULTAS CUYOS RESULTADOS SE PUBLICAN / CONSULTAS TOTALES).,0.0
Participación,UNIVERSIDAD 3,PARTICIPACIÓN CONSULTIVA,GESTIÓN DE LA PARTICIPACIÓN CONSULTIVA DIGITAL Y USO DE RESULTADOS,USO DE HERRAMIENTAS ELECTRÓNICAS PARA RECOGER APORTES O ENCUESTAS.,25.0
Participación,UNIVERSIDAD 3,PARTICIPACIÓN CONSULTIVA,INCLUSIÓN Y DIVERSIDAD EN LAS CONSULTAS,"EXISTE REPRESENTATIVIDAD DE GRUPOS INTERNOS Y EXTERNOS EN LAS CONSULTAS (% DE PARTICIPACIÓN DE ESTUDIANTES, DOCENTES, SOCIEDAD).",33.33
Participación,UNIVERSIDAD 3,PARTICIPACIÓN DECISORIA,CO-CREACIÓN DE POLÍTICAS O PROYECTOS,EXISTEN INICIATIVAS O POLÍTICAS DISEÑADAS DE MANERA COLABORATIVA (CONEO_ANUAL / CONTEO_ACUMULADO)*100.,0.0
Participación,UNIVERSIDAD 3,PARTICIPACIÓN DECISORIA,ESPACIOS DE CO-DECISIÓN,EXISTENCIA DE ÓRGANOS COLEGIADOS CON REPRESENTACIÓN DE LA COMUNIDAD UNIVERSITARIA O EXTERNA.,16.67
Participación,UNIVERSIDAD 3,PARTICIPACIÓN DECISORIA,EVALUACIÓN PARTICIPATIVA,"EXISTENCIA DE PROCESOS DE MONITOREO Y EVALUACIÓN CON PARTICIPACIÓN, ESTUDIANTES, CIUDADANA O ACADÉMICA.",16.67
Participación,UNIVERSIDAD 3,PARTICIPACIÓN DECISORIA,VINCULACIÓN SOCIAL Y TERRITORIAL PARTICIPATIVA,"PARTICIPACIÓN CONJUNTA CON ACTORES EXTERNOS (ONG, MUNICIPIOS, COMUNIDADES). NÚMERO DE PROYECTOS GESTIONADOS O CONVENIOS PARTICIPATIVOS",8.33
Participación,UNIVERSIDAD 3,PARTICIPACIÓN INFORMATIVA,ACCESO A LA INFORMACIÓN PARTICIPATIVA,SE PUBLICA INFORMACIÓN SOBRE PROCESOS Y DECISIONES,62.5
Participación,UNIVERSIDAD 3,PARTICIPACIÓN INFORMATIVA,COMUNICACIÓN BIDIRECCIONAL POTENCIAL,EXISTENCIA DE CANALES PARA RECIBIR COMENTARIOS O CONSULTAS (AUNQUE NO SE USEN).,50.0
Participación,UNIVERSIDAD 3,PARTICIPACIÓN INFORMATIVA,DIFUSIÓN DE DECISIONES INSTITUCIONALES,"SE PUBLICACIÓN DE RESOLUCIONES Y ACUERDOS INSTITUCIONALES DE MANERA FRECUENTE (MENSUAL, TRIMESTRAL, SEMESTRAL, ANUAL)",56.25
Participación,UNIVERSIDAD 3,PARTICIPACIÓN INFORMATIVA,PARTICIPACIÓN EN EVENTOS INFORMATIVOS,PARTICIPACIÓN EN EVENTOS INFORMATIVOS,93.75
Transf. Digital,UNIVERSIDAD 3,TRANSFORMACIÓN DIGITAL,DATOS ABIERTOS E INTEROPERABILIDAD,CALIDAD DE DATOS ABIERTOS (BASADO EN EL MODELO DE 5 ESTRELLAS DE TIM BERNERS-LEE).,66.67
Transf. Digital,UNIVERSIDAD 3,TRANSFORMACIÓN DIGITAL,ESTRATEGIA INSTITUCIONAL DE INNOVACIÓN Y / O TD,NIVEL DE MADUREZ DE LA ESTRATEGIA DE TRANSFORMACIÓN DIGITAL,62.5
Transf. Digital,UNIVERSIDAD 3,TRANSFORMACIÓN DIGITAL,INNOVACIÓN EN SERVICIOS ACADÉMICOS,DIGITALIZACIÓN DE SERVICIOS ACADÉMICOS DE EXTREMO A EXTREMO.,91.67
Transf. Digital,UNIVERSIDAD 3,TRANSFORMACIÓN DIGITAL,MECANISMOS PARA EVALUACIÓN DE IMPACTO DE LA INNOVACIÓN,ÍNDICE DE EFECTIVIDAD Y RETORNO DE VALOR DE LA INNOVACIÓN (IEVI).,33.33
Transf. Digital,UNIVERSIDAD 3,TRANSFORMACIÓN DIGITAL,USO DE TI PARA TRANSPARENCIA Y ACCESO A INFORMACIÓN,USABILIDAD TECNOLÓGICA PARA LA TRANSPARENCIA (IUTT),75.0
Transparencia,UNIVERSIDAD 3,TRANSPARENCIA ACTIVA,ACCESIBILIDAD DEL PORTAL DE TRANSPARENCIA,EXISTENCIA DEL PORTAL,100.0
Transparencia,UNIVERSIDAD 3,TRANSPARENCIA ACTIVA,ACTUALIZACIÓN DE LA INFORMACIÓN,INFORMACIÓN ACTUALIZADA EN BASE A NORMATIVA,100.0
Transparencia,UNIVERSIDAD 3,TRANSPARENCIA ACTIVA,COMPLETITUD DE LA INFORMACIÓN,ÍTEMS PUBLICADOS SON LOS EXIGIDOS POR NORMATIVA,100.0
Transparencia,UNIVERSIDAD 3,TRANSPARENCIA ACTIVA,PUBLICACIÓN DE INFORMACIÓN FINANCIERA Y PRESUPUESTARIA,"PUBLICACIÓN DE INFORMACIÓN FINANCIERA Y PRESUPUESTARIA, CALIDAD Y CLARIDAD DE DATOS FINANCIEROS",87.5
Transparencia,UNIVERSIDAD 3,TRANSPARENCIA ACTIVA,USABILIDAD DEL PORTAL,PUBLICACIÓN DE INFORMACIÓN EN FORMATO DE DATOS ABIERTOS,100.0
Transparencia,UNIVERSIDAD 3,TRANSPARENCIA COLABORATIVA,COCREACIÓN DE INFORMACIÓN CON LA CIUDADANÍA,EXISTENCIA DE PROYECTOS DE TRANSPARENCIA CO-CREADOS CON LA COMUNIDAD,43.75
Transparencia,UNIVERSIDAD 3,TRANSPARENCIA COLABORATIVA,COCREACIÓN DE INFORMACIÓN CON LA CIUDADANÍA,LA INSTITUCIÓN PRESENTA DATASETS O INFORMES GENERADOS JUNTO CON ACTORES EXTERNOS,43.75
