DIMENSION_MACRO,IES ANONIMIZADA,SUBDIMENSIÓN,VARIABLE,INDICADOR,RESULTADO
Información Académica,UNIVERSIDAD 1,INFORMACIÓN ACADÉMICA SERVICIO AL ESTUDIANTE,CANALES DE QUEJAS Y SUGERENCIAS (VOZ ESTUDIANTIL),EXISTENCIA DEL BUZÓN DE TRANSPARENCIA.,33.33
Información Académica,UNIVERSIDAD 1,INFORMACIÓN ACADÉMICA SERVICIO AL ESTUDIANTE,INFRAESTRUCTURA Y RECURSOS DE APRENDIZAJE,DISPONIBILIDAD DE INVENTARIOS DE RECURSOS,16.67
Información Académica,UNIVERSIDAD 1,INFORMACIÓN ACADÉMICA TRANSPARENCIA,TRANSPARENCIA EN ADMISIÓN Y MATRÍCULA,"EXISTENCIA DE PUBLICIDAD, CRITERIOS DE SELECCIÓN, DESCRIPCIÓN DEL PROCESO DE ADMISIÓN Y MATRICULA.",62.5
Información Académica,UNIVERSIDAD 1,INFORMACIÓN ACADÉMICA TRANSPARENCIA,TRANSPARENCIA EN LA EVALUACIÓN,EXISTEN CRITERIOS ESPECÍFICOS (EJ. RÚBRICAS) CON LOS QUE SERÁN CALIFICADOS MIS TRABAJOS O PROYECTOS.,33.33
Información Académica,UNIVERSIDAD 1,INFORMACIÓN ACADÉMICA TRANSPARENCIA,TRANSPARENCIA EN TITULACIÓN Y GRADUACIÓN,"EXISTENCIA DE CRITERIOS ASOCIADOS AL PROCESO DE TITULACIÓN (TASAS, PLAZOS, NORMATIVA, DERECHOS DE GRADO, ETC.) CON SUFICIENTE ANTELACIÓN.",50.0
Investigación,UNIVERSIDAD 1,INVESTIGACIÓN,CIENCIA ABIERTA Y ACCESO A LA INFORMACIÓN CIENTÍFICA,PRODUCCIÓN CIENTÍFICA DISPONIBLE EN ACCESO ABIERTO (OPEN ACCESS).,75.0
Investigación,UNIVERSIDAD 1,INVESTIGACIÓN,COLABORACIÓN E INTERNACIONALIZACIÓN,COAUTORÍA INTERNACIONAL Y REDES DE COOPERACIÓN.,100.0
Investigación,UNIVERSIDAD 1,INVESTIGACIÓN,DIFUSIÓN Y TRANSFERENCIA DEL CONOCIMIENTO,"EVIDENCIAS DE LAS ACTIVIDADES, TAREAS DE DIFUSIÓN Y TRANSFERENCIA DEL CONOCIMIENTO",83.33
Investigación,UNIVERSIDAD 1,INVESTIGACIÓN,GESTIÓN DE LA INVESTIGACIÓN,ÍNDICE DE TRANSPARENCIA Y EFICIENCIA EN LA GESTIÓN DE FONDOS (ITEG).,75.0
Investigación,UNIVERSIDAD 1,INVESTIGACIÓN,POLÍTICA Y PLANIFICACIÓN DE LA INVESTIGACIÓN,NIVEL DE INSTITUCIONALIZACIÓN Y PUBLICIDAD DE LA POLÍTICA DE INVESTIGACIÓN.,75.0
Investigación,UNIVERSIDAD 1,INVESTIGACIÓN,PRODUCCIÓN CIENTÍFICA,REPOSITORIOS CON LA PRODUCCIÓN CIENTÍFICA DE LA IES,87.5
Investigación,UNIVERSIDAD 1,INVESTIGACIÓN,VINCULACIÓN ENTRE INVESTIGACIÓN Y DOCENCIA,EXISTENCIA DE INTEGRACIÓN DE RESULTADOS DE INVESTIGACIÓN EN LOS SÍLABOS ACADÉMICOS.,50.0
Investigación,UNIVERSIDAD 1,INVESTIGACIÓN,ÉTICA Y CALIDAD EN LA INVESTIGACIÓN,CUMPLIMIENTO DE ESTÁNDARES ÉTICOS (ICEE).,91.67
Participación,UNIVERSIDAD 1,PARTICIPACIÓN CONSULTIVA,EXISTENCIA DE MECANISMOS DE CONSULTA,EXISTE VARIEDAD DE ESPACIOS CONSULTIVOS ACTIVOS,100.0
Participación,UNIVERSIDAD 1,PARTICIPACIÓN CONSULTIVA,FRECUENCIA DE PARTICIPACIÓN CONSULTIVA,EXISTENCIA DE PROCESOS DE CONSULTA CON LA COMUNIDAD UNIVERSITARIA SOBRE POLÍTICAS O PLANES APROBADOS.,66.67
Participación,UNIVERSIDAD 1,PARTICIPACIÓN CONSULTIVA,GESTIÓN DE LA PARTICIPACIÓN CONSULTIVA DIGITAL Y USO DE RESULTADOS,EXISTE EVIDENCIA DE QUE LOS APORTES CIUDADANOS O ACADÉMICOS INFLUYERON EN DECISIONES.,83.33
